episode,step,reward,length,running_avg,epsilon
453,66656,460.55,250,86.16,0.4001
454,66793,70.64,137,86.63,0.3989
455,66928,15.54,135,86.24,0.3977
456,67082,64.63,154,84.93,0.3963
457,67298,47.53,216,85.48,0.3943
458,67488,81.81,190,86.17,0.3926
459,67626,24.65,138,85.45,0.3914
460,67740,6.12,114,84.8,0.3903
461,67905,72.19,165,84.49,0.3889
462,68112,66.07,207,84.38,0.387
463,68252,14.9,140,84.35,0.3857
464,68369,11.42,117,84.43,0.3847
465,68619,187.67,250,85.41,0.3824
466,68741,22.81,122,85.39,0.3813
467,68853,2.34,112,83.27,0.3803
468,69103,270.5,250,84.97,0.3781
469,69231,18.8,128,84.19,0.3769
470,69332,-8.28,101,82.03,0.376
471,69473,85.44,141,82.7,0.3748
472,69602,81.03,129,82.41,0.3736
473,69729,21.62,127,81.25,0.3724
474,69918,100.08,189,82.04,0.3707
475,70107,94.69,189,83.02,0.369
476,70357,231.69,250,84.93,0.3668
477,70474,15.02,117,85.16,0.3657
478,70724,428.09,250,88.08,0.3635
479,70974,174.51,250,87.68,0.3612
480,71192,150.72,218,88.53,0.3593
481,71334,33.75,142,88.32,0.358
482,71543,34.05,209,88.26,0.3561
483,71793,168.53,250,89.45,0.3539
484,71914,27.39,121,88.6,0.3528
485,72056,55.56,142,89.08,0.3515
486,72169,111.35,113,89.51,0.3505
487,72419,146.21,250,90.42,0.3482
488,72608,138.14,189,91.48,0.3465
489,72842,203.12,234,93.43,0.3444
490,73092,346.6,250,96.84,0.3422
491,73223,29.51,131,96.75,0.341
492,73473,283.8,250,99.36,0.3388
493,73723,45.91,250,99.16,0.3365
494,73849,22.69,126,99.1,0.3354
495,73977,30.6,128,99.27,0.3342
496,74113,75.56,136,99.91,0.333
497,74363,75.06,250,100.56,0.3307
498,74496,53.06,133,98.67,0.3295
499,74746,244.37,250,100.85,0.3273
500,74910,81.69,164,100.93,0.3258
501,75160,194.87,250,102.98,0.3236
502,75303,13.91,143,102.98,0.3223
503,75441,8.49,138,102.97,0.321
504,75691,221.68,250,104.97,0.3188
505,75897,69.62,206,103.97,0.3169
506,76147,233.33,250,106.18,0.3147
507,76357,241.14,210,108.31,0.3128
508,76607,167.12,250,109.2,0.3105
509,76780,37.95,173,109.32,0.309
510,76891,3.37,111,107.05,0.308
511,77141,313.41,250,108.43,0.3057
512,77265,8.9,124,106.85,0.3046
513,77431,40.13,166,107.07,0.3031
514,77681,146.95,250,108.22,0.3009
515,77850,110.91,169,109.15,0.2994
516,78100,225.0,250,110.51,0.2971
517,78233,39.45,133,110.22,0.2959
518,78483,371.81,250,113.32,0.2937
519,78583,-14.38,100,111.19,0.2928
520,78833,320.49,250,113.4,0.2905
521,78976,119.92,143,114.34,0.2892
522,79110,21.87,134,113.33,0.288
523,79240,19.67,130,113.25,0.2868
524,79359,17.34,119,112.35,0.2858
525,79472,-5.11,113,112.02,0.2848
526,79722,241.06,250,113.33,0.2825
527,79888,104.6,166,114.27,0.281
528,80071,55.01,183,113.61,0.2794
529,80192,27.69,121,113.93,0.2783
530,80423,66.31,231,113.3,0.2762
531,80610,100.38,187,113.72,0.2745
532,80860,321.23,250,114.95,0.2723
533,81020,70.29,160,113.2,0.2708
534,81168,72.07,148,111.61,0.2695
535,81418,278.09,250,114.14,0.2672
536,81539,13.9,121,111.62,0.2662
537,81789,231.15,250,113.92,0.2639
538,81927,43.44,138,114.2,0.2627
539,82177,277.1,250,116.14,0.2604
540,82371,163.91,194,116.39,0.2587
541,82621,173.03,250,116.38,0.2564
542,82871,108.05,250,116.02,0.2542
543,83020,16.81,149,115.75,0.2528
544,83148,80.47,128,115.69,0.2517
545,83349,125.65,201,115.2,0.2499
546,83599,371.03,250,118.8,0.2476
547,83747,43.54,148,117.97,0.2463
548,83918,26.19,171,116.18,0.2447
549,84165,162.97,247,114.96,0.2425
550,84415,212.29,250,116.86,0.2403
551,84665,296.1,250,119.26,0.238
552,84871,310.36,206,119.4,0.2362
553,85107,395.18,236,118.75,0.234
554,85266,84.64,159,118.89,0.2326
555,85511,218.8,245,120.92,0.2304
556,85761,264.29,250,122.92,0.2282
557,85978,294.15,217,125.38,0.2262
558,86228,391.53,250,128.48,0.224
559,86478,157.32,250,129.81,0.2217
560,86605,14.12,127,129.89,0.2206
561,86756,14.07,151,129.31,0.2192
562,86926,265.95,170,131.31,0.2177
563,87080,119.09,154,132.35,0.2163
564,87298,271.71,218,134.95,0.2143
565,87548,321.23,250,136.29,0.2121
566,87710,77.45,162,136.83,0.2106
567,87863,122.58,153,138.04,0.2092
568,88079,349.21,216,138.82,0.2073
569,88140,129.55,61,139.93,0.2067
570,88234,132.84,94,141.34,0.2059
571,88478,269.17,244,143.18,0.2037
572,88728,170.27,250,144.07,0.2015
573,88978,537.63,250,149.23,0.1992
574,89228,689.47,250,155.13,0.197
575,89478,213.55,250,156.31,0.1947
576,89557,91.19,79,154.91,0.194
577,89807,291.3,250,157.67,0.1917
578,90057,329.07,250,156.68,0.1895
579,90293,230.79,236,157.24,0.1874
580,90543,359.88,250,159.34,0.1851
581,90713,221.12,170,161.21,0.1836
582,90963,532.08,250,166.19,0.1813
583,91093,25.46,130,164.76,0.1802
584,91221,19.88,128,164.68,0.179
585,91471,634.43,250,170.47,0.1768
586,91721,353.8,250,172.9,0.1745
587,91971,329.5,250,174.73,0.1723
588,92113,55.7,142,173.91,0.171
589,92363,441.22,250,176.29,0.1687
590,92464,112.02,101,173.94,0.1678
591,92607,91.2,143,174.56,0.1665
592,92830,162.86,223,173.35,0.1645
593,93076,373.67,246,176.63,0.1623
594,93150,46.54,74,176.86,0.1617
595,93321,273.88,171,179.3,0.1601
596,93571,314.56,250,181.69,0.1579
597,93821,543.56,250,186.37,0.1556
598,93939,11.37,118,185.96,0.1546
599,94163,394.72,224,187.46,0.1525
600,94413,429.62,250,190.94,0.1503
601,94493,144.38,80,190.43,0.1496
602,94668,125.05,175,191.54,0.148
603,94918,183.38,250,193.29,0.1457
604,95168,351.32,250,194.59,0.1435
605,95322,109.03,154,194.98,0.1421
606,95488,118.97,166,193.84,0.1406
607,95738,263.06,250,194.06,0.1384
