device: mps
target network: OFF (2013 paper as published)
ep    10 | step     1221 | reward     6.88 | avg100    -1.86 | eps 0.989 | q     nan |   73.7 steps/s | 0.3 min
ep   860 | step   152593 | reward   698.56 | avg100   460.19 | eps 0.100 | q  276.68 |   59.8 steps/s | 42.5 min
ep   870 | step   155090 | reward   448.42 | avg100   467.90 | eps 0.100 | q  291.92 |   59.8 steps/s | 43.2 min
ep   880 | step   157540 | reward   337.91 | avg100   458.85 | eps 0.100 | q  295.32 |   59.7 steps/s | 44.0 min
ep   890 | step   160039 | reward   364.05 | avg100   452.93 | eps 0.100 | q  293.11 |   59.7 steps/s | 44.7 min
ep   900 | step   162520 | reward   763.51 | avg100   457.46 | eps 0.100 | q  310.40 |   59.7 steps/s | 45.4 min
ep   910 | step   164818 | reward   388.82 | avg100   461.82 | eps 0.100 | q  304.81 |   59.7 steps/s | 46.0 min
ep   920 | step   167107 | reward    97.80 | avg100   467.25 | eps 0.100 | q  289.05 |   59.6 steps/s | 46.7 min
ep   930 | step   169420 | reward   516.57 | avg100   468.89 | eps 0.100 | q  302.32 |   59.6 steps/s | 47.4 min
ep   940 | step   171739 | reward   311.15 | avg100   467.07 | eps 0.100 | q  329.66 |   59.6 steps/s | 48.0 min
ep   950 | step   174168 | reward   195.03 | avg100   473.40 | eps 0.100 | q  285.73 |   59.6 steps/s | 48.7 min
ep   960 | step   176457 | reward   515.92 | avg100   478.95 | eps 0.100 | q  332.53 |   59.5 steps/s | 49.4 min
ep   970 | step   178845 | reward   301.61 | avg100   479.19 | eps 0.100 | q  314.21 |   59.5 steps/s | 50.1 min
ep   980 | step   181296 | reward   276.21 | avg100   496.06 | eps 0.100 | q  380.98 |   59.5 steps/s | 50.8 min
ep   990 | step   183570 | reward   697.10 | avg100   495.88 | eps 0.100 | q  393.36 |   59.5 steps/s | 51.4 min
ep  1000 | step   186019 | reward   687.50 | avg100   506.32 | eps 0.100 | q  414.66 |   59.5 steps/s | 52.1 min
ep  1010 | step   188410 | reward   399.20 | avg100   511.24 | eps 0.100 | q  394.03 |   59.4 steps/s | 52.8 min
ep  1020 | step   190857 | reward   308.55 | avg100   514.86 | eps 0.100 | q  381.19 |   59.4 steps/s | 53.5 min
ep  1030 | step   193328 | reward   471.93 | avg100   525.39 | eps 0.100 | q  361.86 |   59.4 steps/s | 54.2 min
ep  1040 | step   195644 | reward   692.08 | avg100   536.30 | eps 0.100 | q  378.59 |   59.4 steps/s | 54.9 min
ep  1050 | step   198063 | reward   359.65 | avg100   536.16 | eps 0.100 | q  392.98 |   59.4 steps/s | 55.6 min
ep  1060 | step   200450 | reward   596.08 | avg100   549.45 | eps 0.100 | q  368.92 |   59.4 steps/s | 56.3 min
ep  1070 | step   202923 | reward   480.52 | avg100   560.90 | eps 0.100 | q  433.97 |   59.4 steps/s | 57.0 min
ep  1080 | step   205146 | reward   290.07 | avg100   550.25 | eps 0.100 | q  375.15 |   59.3 steps/s | 57.6 min
ep  1090 | step   207646 | reward   474.07 | avg100   561.84 | eps 0.100 | q  443.73 |   59.3 steps/s | 58.3 min
ep  1100 | step   210065 | reward   878.26 | avg100   554.04 | eps 0.100 | q  393.92 |   59.3 steps/s | 59.0 min
ep  1110 | step   212452 | reward    77.89 | avg100   561.04 | eps 0.100 | q  421.83 |   59.3 steps/s | 59.7 min
ep  1120 | step   214823 | reward   712.08 | avg100   560.47 | eps 0.100 | q  396.77 |   59.3 steps/s | 60.4 min
ep  1130 | step   217144 | reward   832.33 | avg100   557.24 | eps 0.100 | q  476.83 |   59.3 steps/s | 61.1 min
ep  1140 | step   219499 | reward   859.46 | avg100   560.43 | eps 0.100 | q  375.60 |   59.3 steps/s | 61.7 min
ep  1150 | step   221973 | reward   520.06 | avg100   578.86 | eps 0.100 | q  378.22 |   59.3 steps/s | 62.4 min
ep  1160 | step   224364 | reward   869.18 | avg100   578.39 | eps 0.100 | q  407.19 |   59.2 steps/s | 63.1 min
ep  1170 | step   226661 | reward   334.31 | avg100   560.00 | eps 0.100 | q  442.82 |   59.2 steps/s | 63.8 min
ep  1180 | step   229049 | reward   823.39 | avg100   567.54 | eps 0.100 | q  445.33 |   59.2 steps/s | 64.5 min
ep  1190 | step   231299 | reward   125.90 | avg100   554.33 | eps 0.100 | q  425.06 |   59.2 steps/s | 65.1 min
ep  1200 | step   233640 | reward   775.86 | avg100   551.97 | eps 0.100 | q  492.97 |   59.2 steps/s | 65.8 min
ep  1210 | step   236039 | reward   626.11 | avg100   548.85 | eps 0.100 | q  447.65 |   59.2 steps/s | 66.4 min
ep  1220 | step   238416 | reward   425.77 | avg100   545.42 | eps 0.100 | q  388.02 |   59.2 steps/s | 67.1 min
ep  1230 | step   240644 | reward   832.66 | avg100   540.83 | eps 0.100 | q  396.69 |   59.2 steps/s | 67.8 min
ep  1240 | step   243144 | reward   540.41 | avg100   562.63 | eps 0.100 | q  455.92 |   59.2 steps/s | 68.5 min
ep  1250 | step   245534 | reward   353.95 | avg100   550.56 | eps 0.100 | q  402.21 |   59.2 steps/s | 69.1 min
ep  1260 | step   247917 | reward   250.22 | avg100   549.76 | eps 0.100 | q  414.73 |   59.2 steps/s | 69.8 min
ep  1270 | step   250278 | reward   643.33 | avg100   559.71 | eps 0.100 | q  442.75 |   59.2 steps/s | 70.5 min
ep  1280 | step   252720 | reward   328.02 | avg100   562.52 | eps 0.100 | q  463.75 |   59.2 steps/s | 71.2 min
ep  1290 | step   255106 | reward   574.33 | avg100   566.16 | eps 0.100 | q  397.28 |   59.1 steps/s | 71.9 min
