episode,step,reward,length,running_avg,epsilon
488,71237,144.83,250,61.57,0.3589
489,71461,71.79,224,61.9,0.3569
490,71652,53.05,191,62.52,0.3551
491,71902,323.21,250,64.99,0.3529
492,72123,196.81,221,66.41,0.3509
493,72305,76.67,182,67.28,0.3493
494,72555,149.17,250,68.42,0.347
495,72805,200.41,250,69.83,0.3448
496,73055,257.4,250,72.15,0.3425
497,73225,62.57,170,72.91,0.341
498,73475,245.56,250,75.29,0.3387
499,73618,25.43,143,75.41,0.3374
500,73868,248.59,250,77.72,0.3352
501,74118,162.82,250,79.29,0.3329
502,74368,154.15,250,79.48,0.3307
503,74540,82.68,172,79.19,0.3291
504,74790,141.26,250,79.92,0.3269
505,75016,143.3,226,81.25,0.3249
506,75191,77.37,175,81.67,0.3233
507,75292,-9.34,101,81.16,0.3224
508,75451,32.09,159,81.38,0.321
509,75580,7.42,129,81.35,0.3198
510,75742,20.89,162,81.57,0.3183
511,75910,50.33,168,82.0,0.3168
512,76037,2.07,127,81.43,0.3157
513,76181,14.5,144,81.45,0.3144
514,76295,6.23,114,81.54,0.3134
515,76456,21.53,161,81.9,0.3119
516,76706,189.29,250,83.84,0.3097
517,76892,85.34,186,84.52,0.308
518,77142,86.94,250,84.75,0.3057
519,77392,209.7,250,86.73,0.3035
520,77619,71.74,227,87.32,0.3014
521,77807,76.09,188,87.66,0.2997
522,78050,159.4,243,89.12,0.2976
523,78237,43.95,187,88.77,0.2959
524,78487,65.58,250,89.45,0.2936
525,78737,180.41,250,91.17,0.2914
526,78987,118.54,250,92.15,0.2891
527,79136,55.64,149,92.66,0.2878
528,79386,137.18,250,93.72,0.2855
529,79505,14.44,119,93.99,0.2845
530,79755,257.14,250,95.78,0.2822
531,79926,66.34,171,96.5,0.2807
532,80097,41.19,171,96.8,0.2791
533,80347,102.86,250,97.32,0.2769
534,80597,289.96,250,99.55,0.2746
535,80847,263.96,250,100.84,0.2724
536,81049,33.95,202,100.33,0.2706
537,81191,21.89,142,100.03,0.2693
538,81441,306.36,250,102.98,0.267
539,81691,192.73,250,103.93,0.2648
540,81903,99.76,212,104.78,0.2629
541,82153,222.37,250,107.17,0.2606
542,82403,158.39,250,108.24,0.2584
543,82509,-4.07,106,107.77,0.2574
544,82635,13.12,126,107.33,0.2563
545,82885,261.9,250,108.26,0.254
546,83135,318.25,250,110.25,0.2518
547,83243,1.32,108,109.37,0.2508
548,83493,271.71,250,111.71,0.2486
549,83743,282.76,250,113.69,0.2463
550,83978,128.59,235,115.01,0.2442
551,84187,90.42,209,115.46,0.2423
552,84437,364.29,250,118.35,0.2401
553,84687,297.44,250,120.56,0.2378
554,84937,272.62,250,123.02,0.2356
555,85187,227.16,250,125.24,0.2333
556,85363,83.17,176,124.44,0.2317
557,85613,188.69,250,124.94,0.2295
558,85806,137.45,193,124.59,0.2278
559,86056,236.45,250,126.02,0.2255
560,86272,65.77,216,126.46,0.2236
561,86511,125.58,239,126.29,0.2214
562,86761,130.77,250,127.03,0.2192
563,87011,223.84,250,126.13,0.2169
564,87261,178.52,250,127.77,0.2147
565,87511,156.85,250,128.53,0.2124
566,87643,32.61,132,128.82,0.2112
567,87822,82.84,179,128.43,0.2096
568,88038,175.5,216,129.73,0.2077
569,88288,226.01,250,131.79,0.2054
570,88507,71.82,219,132.28,0.2034
571,88757,242.19,250,131.87,0.2012
572,89007,210.81,250,133.42,0.1989
573,89257,325.09,250,135.46,0.1967
574,89507,287.22,250,137.07,0.1944
575,89757,302.21,250,137.91,0.1922
576,89902,61.13,145,137.19,0.1909
577,90152,321.4,250,138.49,0.1886
578,90402,162.13,250,138.38,0.1864
579,90652,115.45,250,138.45,0.1841
580,90902,338.27,250,141.37,0.1819
581,91152,362.59,250,144.99,0.1796
582,91402,337.11,250,148.08,0.1774
583,91652,301.21,250,149.61,0.1751
584,91902,248.99,250,152.11,0.1729
585,92152,267.21,250,153.82,0.1706
586,92365,195.1,213,153.02,0.1687
587,92615,391.41,250,156.25,0.1665
588,92865,165.24,250,156.45,0.1642
589,93115,358.33,250,159.32,0.162
590,93365,338.66,250,162.17,0.1597
591,93615,312.09,250,162.06,0.1575
592,93865,415.98,250,164.25,0.1552
593,94115,435.06,250,167.84,0.153
594,94257,37.4,142,166.72,0.1517
595,94507,393.29,250,168.65,0.1494
596,94757,343.04,250,169.51,0.1472
597,94988,85.17,231,169.73,0.1451
598,95182,79.26,194,168.07,0.1434
599,95432,290.24,250,170.72,0.1411
600,95682,237.33,250,170.6,0.1389
601,95932,319.48,250,172.17,0.1366
602,96182,367.49,250,174.3,0.1344
603,96432,348.84,250,176.97,0.1321
604,96682,299.75,250,178.55,0.1299
605,96932,284.92,250,179.97,0.1276
606,97182,362.54,250,182.82,0.1254
607,97432,192.84,250,184.84,0.1231
608,97682,711.24,250,191.63,0.1209
609,97932,608.49,250,197.64,0.1186
610,98182,619.3,250,203.63,0.1164
611,98432,356.58,250,206.69,0.1141
612,98682,672.2,250,213.39,0.1119
613,98902,291.57,220,216.16,0.1099
614,99152,758.74,250,223.69,0.1076
615,99402,386.79,250,227.34,0.1054
616,99615,205.23,213,227.5,0.1035
617,99865,458.53,250,231.23,0.1012
618,100115,409.32,250,234.45,0.1
619,100365,425.55,250,236.61,0.1
620,100580,256.95,215,238.47,0.1
621,100830,530.66,250,243.01,0.1
622,101080,520.0,250,246.62,0.1
623,101330,550.17,250,251.68,0.1
624,101580,578.68,250,256.81,0.1
625,101830,461.06,250,259.62,0.1
626,102080,263.64,250,261.07,0.1
627,102330,676.22,250,267.27,0.1
628,102508,334.54,178,269.25,0.1
629,102758,281.11,250,271.91,0.1
630,103008,520.57,250,274.55,0.1
631,103258,718.18,250,281.07,0.1
632,103397,124.79,139,281.9,0.1
633,103647,439.84,250,285.27,0.1
634,103897,244.74,250,284.82,0.1
635,104147,507.14,250,287.25,0.1
636,104397,346.85,250,290.38,0.1
637,104597,258.82,200,292.75,0.1
638,104837,245.57,240,292.14,0.1
639,105087,531.4,250,295.53,0.1
640,105337,425.16,250,298.78,0.1
641,105587,658.5,250,303.14,0.1
642,105837,570.07,250,307.26,0.1
643,106087,683.84,250,314.14,0.1
644,106337,318.59,250,317.19,0.1
645,106587,558.18,250,320.16,0.1
646,106837,291.71,250,319.89,0.1
647,107087,388.44,250,323.76,0.1
648,107337,593.14,250,326.98,0.1
649,107505,109.29,168,325.24,0.1
650,107674,103.77,169,324.99,0.1
651,107924,596.67,250,330.06,0.1
652,108174,769.57,250,334.11,0.1
653,108424,660.3,250,337.74,0.1
654,108674,450.31,250,339.52,0.1
655,108924,360.84,250,340.85,0.1
656,109174,371.48,250,343.73,0.1
657,109424,398.65,250,345.83,0.1
658,109674,273.14,250,347.19,0.1
659,109924,524.57,250,350.07,0.1
660,110174,681.02,250,356.23,0.1
661,110424,201.75,250,356.99,0.1
662,110661,302.89,237,358.71,0.1
663,110911,334.43,250,359.81,0.1
664,111111,158.1,200,359.61,0.1
665,111290,198.58,179,360.03,0.1
666,111540,731.62,250,367.02,0.1
667,111790,876.08,250,374.95,0.1
668,111983,184.24,193,375.04,0.1
669,112124,103.32,141,373.81,0.1
670,112374,671.74,250,379.81,0.1
671,112624,835.25,250,385.74,0.1
672,112800,325.12,176,386.88,0.1
673,113050,318.94,250,386.82,0.1
674,113300,656.76,250,390.52,0.1
