episode,step,reward,length,running_avg,epsilon
419,59670,-16.03,100,21.78,0.463
420,59920,71.78,250,22.54,0.4607
421,60041,5.35,121,22.0,0.4596
422,60291,222.71,250,24.29,0.4574
423,60392,-5.56,101,24.31,0.4565
424,60642,16.51,250,24.55,0.4542
425,60823,22.01,181,24.34,0.4526
426,61021,13.66,198,24.12,0.4508
427,61149,21.67,128,24.13,0.4497
428,61399,87.92,250,25.1,0.4474
429,61570,0.67,171,25.26,0.4459
430,61775,48.47,205,25.83,0.444
431,61875,-15.43,100,25.59,0.4431
432,61976,-6.5,101,25.22,0.4422
433,62076,-10.91,100,25.21,0.4413
434,62326,123.02,250,26.1,0.4391
435,62507,40.28,181,26.63,0.4374
436,62757,156.85,250,28.36,0.4352
437,62873,0.9,116,28.2,0.4342
438,63010,16.87,137,28.54,0.4329
439,63110,-10.15,100,28.3,0.432
440,63288,26.36,178,28.31,0.4304
441,63445,82.96,157,28.9,0.429
442,63695,213.79,250,30.61,0.4268
443,63851,7.14,156,30.83,0.4254
444,63996,-10.22,145,30.87,0.424
445,64096,-20.2,100,30.39,0.4231
446,64219,-1.86,123,30.42,0.422
447,64469,145.28,250,31.93,0.4198
448,64569,-19.66,100,31.56,0.4189
449,64819,116.22,250,32.74,0.4166
450,65069,113.33,250,33.63,0.4144
451,65319,138.41,250,35.12,0.4121
452,65569,179.17,250,37.0,0.4099
453,65819,228.72,250,39.22,0.4076
454,66069,214.18,250,41.36,0.4054
455,66319,163.49,250,43.05,0.4031
456,66569,209.6,250,44.79,0.4009
457,66688,19.56,119,45.14,0.3998
458,66863,72.29,175,45.84,0.3982
459,67010,40.01,147,46.17,0.3969
460,67260,158.62,250,47.75,0.3947
461,67510,245.24,250,49.79,0.3924
462,67760,220.39,250,51.91,0.3902
463,67944,71.27,184,51.78,0.3885
464,68156,69.31,212,52.46,0.3866
465,68406,269.86,250,55.04,0.3844
466,68543,46.35,137,55.6,0.3831
467,68793,334.34,250,59.0,0.3809
468,69043,176.98,250,60.71,0.3786
469,69293,143.33,250,61.38,0.3764
470,69543,302.93,250,64.3,0.3741
471,69726,97.01,183,65.35,0.3725
472,69976,256.85,250,67.28,0.3702
473,70226,131.75,250,68.65,0.368
474,70404,97.12,178,69.58,0.3664
475,70504,-14.64,100,69.56,0.3655
476,70640,84.76,136,70.42,0.3642
477,70890,270.91,250,73.09,0.362
478,71140,173.41,250,74.17,0.3597
479,71390,269.28,250,76.53,0.3575
480,71640,123.05,250,77.8,0.3552
481,71890,111.41,250,78.57,0.353
482,72140,205.15,250,79.91,0.3507
483,72293,54.18,153,80.45,0.3494
484,72486,111.21,193,81.16,0.3476
485,72736,90.91,250,81.43,0.3454
486,72878,44.76,142,81.19,0.3441
487,73128,180.0,250,82.3,0.3419
488,73228,-12.41,100,81.46,0.341
489,73399,38.99,171,81.72,0.3394
490,73545,10.3,146,81.44,0.3381
491,73795,114.47,250,82.18,0.3359
492,74023,42.55,228,82.42,0.3338
493,74273,106.41,250,83.41,0.3316
494,74523,132.56,250,84.1,0.3293
495,74773,212.76,250,85.6,0.3271
496,74882,-3.89,109,84.71,0.3261
497,75072,82.49,190,85.56,0.3244
498,75322,265.02,250,87.98,0.3221
499,75460,11.03,138,87.4,0.3209
500,75710,199.3,250,89.46,0.3186
501,75886,64.22,176,89.57,0.317
502,76136,178.35,250,90.51,0.3148
503,76383,174.25,247,92.22,0.3126
504,76633,253.15,250,94.54,0.3103
505,76883,227.81,250,96.49,0.3081
506,77133,170.18,250,98.07,0.3058
507,77383,272.67,250,100.78,0.3036
508,77633,215.07,250,102.73,0.3013
509,77883,263.93,250,105.13,0.2991
510,78133,107.01,250,105.41,0.2968
511,78383,148.41,250,106.27,0.2946
512,78633,159.05,250,107.71,0.2923
513,78883,144.51,250,109.23,0.2901
514,79133,140.65,250,109.59,0.2878
515,79358,143.81,225,110.19,0.2858
516,79608,167.36,250,110.9,0.2835
517,79858,168.37,250,112.6,0.2813
518,80108,220.47,250,114.47,0.279
519,80358,217.16,250,116.8,0.2768
520,80608,225.09,250,118.34,0.2745
521,80858,143.54,250,119.72,0.2723
522,81108,137.74,250,118.87,0.27
523,81358,171.88,250,120.64,0.2678
524,81608,283.12,250,123.31,0.2655
525,81737,49.75,129,123.59,0.2644
526,81987,207.95,250,125.53,0.2621
527,82237,346.1,250,128.77,0.2599
528,82399,79.43,162,128.69,0.2584
529,82649,334.31,250,132.03,0.2562
530,82899,199.32,250,133.53,0.2539
531,83138,174.47,239,135.43,0.2518
532,83355,152.93,217,137.03,0.2498
533,83605,180.0,250,138.94,0.2476
534,83855,258.57,250,140.29,0.2453
535,84105,355.83,250,143.45,0.2431
536,84355,280.33,250,144.68,0.2408
537,84605,270.49,250,147.38,0.2386
538,84855,267.44,250,149.88,0.2363
539,85089,229.63,234,152.28,0.2342
540,85339,175.17,250,153.77,0.232
541,85589,314.47,250,156.09,0.2297
542,85839,336.24,250,157.31,0.2275
543,86089,440.07,250,161.64,0.2252
544,86339,380.43,250,165.55,0.223
545,86589,172.22,250,167.47,0.2207
546,86839,280.13,250,170.29,0.2185
547,87089,334.93,250,172.19,0.2162
548,87339,149.7,250,173.88,0.214
549,87589,337.93,250,176.1,0.2117
550,87839,255.48,250,177.52,0.2095
551,88089,166.23,250,177.8,0.2072
552,88247,33.7,158,176.34,0.2058
553,88497,255.77,250,176.61,0.2035
554,88747,303.04,250,177.5,0.2013
555,88997,313.58,250,179.0,0.199
556,89247,307.14,250,179.98,0.1968
557,89497,349.4,250,183.28,0.1945
558,89655,96.12,158,183.51,0.1931
559,89875,64.65,220,183.76,0.1911
560,90125,331.68,250,185.49,0.1889
561,90375,354.83,250,186.59,0.1866
562,90625,401.67,250,188.4,0.1844
563,90875,369.75,250,191.38,0.1821
564,91125,561.07,250,196.3,0.1799
565,91375,290.31,250,196.51,0.1776
566,91625,750.53,250,203.55,0.1754
567,91875,363.32,250,203.84,0.1731
568,92125,542.86,250,207.5,0.1709
569,92253,87.19,128,206.94,0.1697
570,92503,410.07,250,208.01,0.1675
571,92753,544.52,250,212.48,0.1652
572,93003,393.24,250,213.85,0.163
573,93253,460.93,250,217.14,0.1607
574,93503,377.44,250,219.94,0.1585
575,93753,460.89,250,224.7,0.1562
576,94003,463.18,250,228.48,0.154
577,94157,83.51,154,226.61,0.1526
578,94407,332.53,250,228.2,0.1503
579,94657,366.43,250,229.17,0.1481
580,94907,224.07,250,230.18,0.1458
581,95157,386.39,250,232.93,0.1436
582,95407,381.13,250,234.69,0.1413
583,95657,466.9,250,238.82,0.1391
584,95907,353.02,250,241.23,0.1368
585,96119,52.2,212,240.85,0.1349
586,96369,400.0,250,244.4,0.1327
587,96619,535.74,250,247.96,0.1304
588,96869,473.17,250,252.81,0.1282
589,97119,358.33,250,256.01,0.1259
590,97369,546.84,250,261.37,0.1237
591,97619,457.62,250,264.8,0.1214
592,97869,541.03,250,269.79,0.1192
593,98119,446.13,250,273.19,0.1169
594,98369,505.07,250,276.91,0.1147
595,98619,400.0,250,278.78,0.1124
