update,step,policy_loss,value_loss,entropy,approx_kl,clip_fraction,explained_variance,lr
190,379620,0.01417,3.79571,-0.64253,0.067492,0.5603,0.6821,0.0008102
191,381618,0.01773,5.10305,-0.80446,0.081688,0.6077,0.6121,0.0008092
192,383616,0.01522,4.82521,-0.79638,0.054793,0.5499,0.6683,0.0008082
193,385614,0.01158,4.89963,-0.78456,0.073273,0.5648,0.6575,0.0008072
194,387612,0.005,4.17925,-0.61796,1.6615348956959417e+34,0.4746,0.6757,0.0008062
195,389610,0.02222,4.4566,-0.75813,0.06554,0.5953,0.5878,0.0008052
196,391608,0.01262,4.93109,-0.6908,0.054533,0.541,0.668,0.0008042
197,393606,0.02167,5.04515,-0.63136,0.065609,0.543,0.5516,0.0008032
198,395604,0.01,4.02729,-0.66248,0.055593,0.562,0.616,0.0008022
199,397602,0.00709,3.38448,-0.54511,0.047718,0.496,0.7114,0.0008012
200,399600,0.01085,3.90593,-0.62192,0.047493,0.4986,0.6666,0.0008002
201,401598,0.01671,3.59693,-0.57134,0.057192,0.5428,0.6874,0.0007992
202,403596,0.02018,4.37933,-0.64581,0.061678,0.5649,0.6333,0.0007982
203,405594,0.01989,4.51508,-0.65372,4.984604687087825e+34,0.5464,0.6914,0.0007972
204,407592,0.01202,4.04776,-0.61525,0.051909,0.531,0.6407,0.0007962
205,409590,0.02689,3.77384,-0.6606,9.372760950079671e+34,0.6164,0.6476,0.0007952
206,411588,0.02389,4.05661,-0.50617,0.049687,0.5732,0.6532,0.0007942
207,413586,0.0184,4.60902,-0.61242,0.051059,0.5678,0.5838,0.0007932
208,415584,0.01993,3.35045,-0.61576,1.4953814061263475e+35,0.5928,0.667,0.0007922
209,417582,0.00892,3.58915,-0.51198,0.050126,0.5654,0.6494,0.0007912
210,419580,0.01323,3.38304,-0.60245,0.05301,0.5498,0.6323,0.0007902
211,421578,0.00726,3.5888,-0.59771,0.042963,0.5569,0.6441,0.0007892
212,423576,0.01231,4.93325,-0.58181,0.043332,0.5118,0.6587,0.0007882
213,425574,0.00677,3.97109,-0.65592,0.051312,0.5115,0.6783,0.0007872
214,427572,0.01851,3.79918,-0.67867,0.056734,0.5904,0.6583,0.0007862
215,429570,0.00966,3.74843,-0.62838,0.051799,0.5421,0.6652,0.0007852
216,431568,0.01457,3.38601,-0.5795,0.055115,0.5726,0.6839,0.0007842
217,433566,0.01506,3.77268,-0.63548,0.05738,0.5894,0.6734,0.0007832
218,435564,0.01319,4.9484,-0.66941,0.058612,0.5595,0.6975,0.0007822
219,437562,0.00788,4.18713,-0.62803,0.047562,0.5285,0.7114,0.0007812
220,439560,0.01326,4.36439,-0.63649,0.044682,0.5276,0.6625,0.0007802
221,441558,0.01146,3.97876,-0.46842,0.056601,0.4711,0.6738,0.0007792
222,443556,0.00586,3.07297,-0.50891,0.043169,0.4639,0.6883,0.0007782
223,445554,0.01744,4.10002,-0.65617,0.069241,0.594,0.6219,0.0007772
224,447552,0.00663,3.96053,-0.59818,0.040574,0.5248,0.7097,0.0007762
225,449550,0.01349,3.06072,-0.61499,0.077334,0.55,0.7523,0.0007752
226,451548,0.01497,3.68941,-0.77387,0.047034,0.6074,0.5998,0.0007742
227,453546,0.01339,4.62427,-0.62687,0.051888,0.5318,0.7275,0.0007732
228,455544,0.01227,3.82367,-0.6268,0.05109,0.498,0.7307,0.0007722
229,457542,0.01158,3.88092,-0.63411,0.055064,0.5487,0.7152,0.0007712
230,459540,0.01227,3.52724,-0.71416,8.3076744784797085e+34,0.6249,0.7045,0.0007702
231,461538,0.00833,3.06546,-0.54714,0.055593,0.4967,0.7972,0.0007692
