episode,step,reward,length,running_avg
426,44520,-5.35,104,-4.99
427,44664,0.35,111,-4.97
428,44994,-4.68,101,-4.86
429,45084,-43.33,100,-5.25
430,45090,-2.4,103,-5.21
431,45108,0.63,112,-5.55
432,45234,-4.95,119,-5.55
433,45270,-9.6,101,-5.6
434,45696,-9.75,101,-5.65
435,45702,-4.48,103,-5.66
436,45744,45.75,125,-5.15
437,45756,-0.9,108,-5.08
438,45876,-10.33,101,-5.14
439,45984,11.94,125,-4.95
440,46296,-17.5,100,-4.9
441,46308,-7.22,101,-4.93
442,46356,-12.75,100,-5.01
443,46416,-2.75,112,-5.0
444,46560,-0.29,114,-4.95
445,46584,-44.5,100,-5.37
446,46896,-13.55,100,-5.58
447,46926,-5.22,103,-5.61
448,46962,-5.41,101,-5.5
449,47034,-5.31,103,-5.43
450,47166,-6.68,101,-5.46
451,47190,-9.63,101,-5.53
452,47532,-8.28,101,-5.43
453,47574,-5.53,113,-5.38
454,47604,-1.66,107,-5.26
455,47676,-1.35,107,-5.19
456,47778,-3.9,102,-5.17
457,47796,-6.97,101,-5.18
458,48270,-3.93,111,-5.11
459,48282,29.25,125,-4.77
460,48282,-10.51,101,-4.93
461,48324,24.57,125,-4.65
462,48384,-10.13,101,-5.0
463,48396,-13.07,100,-5.04
464,48918,-0.38,108,-4.99
465,48930,-8.29,101,-5.09
466,48972,1.19,115,-5.03
467,48984,-18.91,100,-5.2
468,49032,5.26,125,-5.11
469,49146,6.56,125,-5.05
470,49590,-6.03,101,-5.01
471,49632,-20.34,100,-5.16
472,49656,5.05,123,-4.88
473,49680,29.63,125,-4.55
474,49722,74.38,125,-3.75
475,49896,-0.37,125,-3.65
476,50190,-16.88,100,-4.1
477,50256,-14.03,100,-4.21
478,50274,-3.89,107,-4.58
479,50280,-11.03,100,-4.61
480,50328,-5.14,101,-4.58
481,50496,-18.11,100,-4.74
482,50928,-3.67,108,-4.72
483,50940,26.81,125,-4.25
484,50946,-4.35,112,-4.26
485,51000,9.03,124,-4.22
486,51078,14.5,125,-4.07
487,51246,38.05,125,-3.64
488,51546,-4.46,101,-3.57
489,51558,-0.52,102,-3.43
490,51570,-3.13,107,-3.42
491,51600,-47.27,100,-3.88
492,51828,14.38,125,-3.68
