device: mps
actors: 6 | 333 steps each | 1998 samples per update
ep    10 | step     1200 | reward   -10.80 | avg100   -15.70 |  111.4 steps/s | 0.2 min
ep  1170 | step   128484 | reward   -19.68 | avg100    47.22 |  101.8 steps/s | 21.0 min
ep  1180 | step   129948 | reward   111.32 | avg100    50.26 |  101.8 steps/s | 21.3 min
ep  1190 | step   131088 | reward    27.91 | avg100    51.64 |  101.9 steps/s | 21.4 min
ep  1200 | step   132198 | reward   166.67 | avg100    52.62 |  101.8 steps/s | 21.6 min
ep  1210 | step   133392 | reward   -53.68 | avg100    54.16 |  101.9 steps/s | 21.8 min
ep  1220 | step   134598 | reward    -5.56 | avg100    54.25 |  101.8 steps/s | 22.0 min
ep  1230 | step   135798 | reward   126.01 | avg100    54.04 |  101.9 steps/s | 22.2 min
ep  1240 | step   136950 | reward    55.06 | avg100    54.18 |  101.9 steps/s | 22.4 min
ep  1250 | step   138198 | reward    88.12 | avg100    55.90 |  101.8 steps/s | 22.6 min
ep  1260 | step   139398 | reward   -34.09 | avg100    56.27 |  101.9 steps/s | 22.8 min
ep  1270 | step   140640 | reward   -47.74 | avg100    56.73 |  101.8 steps/s | 23.0 min
ep  1280 | step   141606 | reward   106.19 | avg100    56.94 |  101.9 steps/s | 23.2 min
ep  1290 | step   142836 | reward   117.08 | avg100    58.70 |  101.8 steps/s | 23.4 min
ep  1300 | step   143946 | reward   -58.19 | avg100    54.79 |  101.8 steps/s | 23.6 min
ep  1310 | step   145320 | reward     4.89 | avg100    59.33 |  101.9 steps/s | 23.8 min
ep  1320 | step   146388 | reward    10.74 | avg100    59.25 |  101.8 steps/s | 24.0 min
ep  1330 | step   147606 | reward    39.75 | avg100    60.23 |  101.9 steps/s | 24.1 min
ep  1340 | step   148788 | reward   -17.72 | avg100    58.18 |  101.8 steps/s | 24.4 min
ep  1350 | step   149982 | reward    67.25 | avg100    55.02 |  101.8 steps/s | 24.6 min
ep  1360 | step   151146 | reward    85.19 | avg100    52.47 |  101.9 steps/s | 24.7 min
ep  1370 | step   152214 | reward   134.27 | avg100    55.43 |  101.8 steps/s | 24.9 min
ep  1380 | step   153492 | reward   141.99 | avg100    53.31 |  101.9 steps/s | 25.1 min
ep  1390 | step   154704 | reward   140.14 | avg100    51.26 |  101.8 steps/s | 25.3 min
ep  1400 | step   155820 | reward    28.52 | avg100    56.76 |  101.9 steps/s | 25.5 min
ep  1410 | step   156954 | reward    92.59 | avg100    53.83 |  101.8 steps/s | 25.7 min
ep  1420 | step   158178 | reward   -26.43 | avg100    54.38 |  101.8 steps/s | 25.9 min
ep  1430 | step   159330 | reward   148.18 | avg100    51.02 |  101.9 steps/s | 26.1 min
ep  1440 | step   160452 | reward    33.06 | avg100    51.79 |  101.8 steps/s | 26.3 min
ep  1450 | step   161628 | reward   136.75 | avg100    53.31 |  101.9 steps/s | 26.4 min
ep  1460 | step   162888 | reward   168.55 | avg100    55.57 |  101.9 steps/s | 26.6 min
ep  1470 | step   163962 | reward   112.77 | avg100    55.89 |  101.8 steps/s | 26.8 min
ep  1480 | step   165102 | reward   -57.12 | avg100    53.60 |  101.9 steps/s | 27.0 min
ep  1490 | step   166380 | reward   185.71 | avg100    53.29 |  101.8 steps/s | 27.2 min
ep  1500 | step   167298 | reward    -4.96 | avg100    46.56 |  101.9 steps/s | 27.4 min
ep  1510 | step   168498 | reward   150.98 | avg100    46.52 |  101.8 steps/s | 27.6 min
ep  1520 | step   169680 | reward   -60.50 | avg100    41.72 |  101.9 steps/s | 27.8 min
ep  1530 | step   171048 | reward   153.52 | avg100    42.74 |  101.8 steps/s | 28.0 min
ep  1540 | step   172020 | reward     5.93 | avg100    43.70 |  101.8 steps/s | 28.2 min
ep  1550 | step   173328 | reward   109.62 | avg100    42.59 |  101.8 steps/s | 28.4 min
ep  1560 | step   174498 | reward    43.79 | avg100    43.19 |  101.8 steps/s | 28.6 min
ep  1570 | step   175770 | reward    73.33 | avg100    42.41 |  101.9 steps/s | 28.8 min
ep  1580 | step   176976 | reward    16.04 | avg100    47.28 |  101.8 steps/s | 29.0 min
ep  1590 | step   178158 | reward   104.95 | avg100    50.51 |  101.8 steps/s | 29.2 min
ep  1600 | step   179298 | reward   -19.07 | avg100    54.86 |  101.8 steps/s | 29.3 min
ep  1610 | step   180510 | reward   -20.00 | avg100    53.09 |  101.8 steps/s | 29.6 min
ep  1620 | step   181776 | reward    -4.33 | avg100    55.68 |  101.9 steps/s | 29.7 min
ep  1630 | step   182754 | reward    32.91 | avg100    54.17 |  101.8 steps/s | 29.9 min
ep  1640 | step   184062 | reward    55.49 | avg100    53.83 |  101.7 steps/s | 30.2 min
ep  1650 | step   185376 | reward     5.26 | avg100    56.63 |  101.8 steps/s | 30.3 min
ep  1660 | step   186504 | reward    50.00 | avg100    56.71 |  101.8 steps/s | 30.5 min
ep  1670 | step   187698 | reward    25.90 | avg100    55.98 |  101.8 steps/s | 30.7 min
ep  1680 | step   188904 | reward    76.92 | avg100    51.71 |  101.8 steps/s | 30.9 min
ep  1690 | step   190062 | reward     5.40 | avg100    49.84 |  101.7 steps/s | 31.1 min
ep  1700 | step   191412 | reward    55.48 | avg100    49.47 |  101.8 steps/s | 31.3 min
ep  1710 | step   192534 | reward    38.51 | avg100    50.69 |  101.8 steps/s | 31.5 min
ep  1720 | step   193662 | reward   124.64 | avg100    50.97 |  101.8 steps/s | 31.7 min
ep  1730 | step   194964 | reward     7.14 | avg100    52.34 |  101.8 steps/s | 31.9 min
ep  1740 | step   196278 | reward    90.97 | avg100    50.52 |  101.8 steps/s | 32.1 min
ep  1750 | step   197364 | reward    59.32 | avg100    48.17 |  101.8 steps/s | 32.3 min
